"id","user_satisfaction","outcome","ai_chatbot"
8,"Neutral","Redirected","No"
97,"Neutral","Booked an appointment","Yes"
474,"Neutral","Prescription request","Yes"
553,"Neutral","Prescription request","No"
560,"Neutral","Booked an appointment","No"
569,"Neutral","Redirected","No"
678,"Neutral","Prescription request","No"
791,"Neutral","Prescription request","No"
913,"Satisfied","Booked an appointment","No"
963,"Neutral","Prescription request","No"
1006,"Neutral","Booked an appointment","Yes"
1044,"Neutral","Redirected","Yes"
1254,"Neutral","Prescription request","Yes"
1265,"Neutral","Prescription request","Yes"
1309,"Neutral","Redirected","No"
1315,"Neutral","Booked an appointment","No"
1384,"Neutral","Redirected","No"
1394,"Neutral","Prescription request","Yes"
1488,"Neutral","Booked an appointment","No"
1614,"Neutral","Booked an appointment","Yes"
1619,"Neutral","Prescription request","Yes"
1707,"Neutral","Redirected","Yes"
1753,"Neutral","Booked an appointment","No"
1864,"Neutral","Booked an appointment","Yes"
1895,"Neutral","Booked an appointment","No"
2050,"Neutral","Booked an appointment","No"
2156,"Neutral","Prescription request","No"
2169,"Neutral","Prescription request","No"
2174,"Dissatisfied","Prescription request","Yes"
2203,"Neutral","Booked an appointment","No"
2207,"Dissatisfied","Prescription request","No"
2232,"Neutral","Prescription request","No"
2344,"Neutral","Booked an appointment","Yes"
2347,"Neutral","Redirected","Yes"
2459,"Neutral","Redirected","No"
2759,"Neutral","Prescription request","Yes"
2804,"Neutral","Prescription request","No"
2880,"Neutral","Redirected","Yes"
2971,"Neutral","Booked an appointment","No"
3130,"Neutral","Booked an appointment","No"
3141,"Neutral","Booked an appointment","No"
3341,"Satisfied","Booked an appointment","Yes"
3401,"Neutral","Booked an appointment","Yes"
3457,"Neutral","Booked an appointment","Yes"
3594,"Neutral","Redirected","No"
3601,"Neutral","Prescription request","Yes"
3616,"Satisfied","Booked an appointment","No"
3635,"Neutral","Prescription request","Yes"
3740,"Neutral","Booked an appointment","Yes"
3889,"Neutral","Booked an appointment","Yes"
3987,"Neutral","Booked an appointment","No"
4097,"Neutral","Booked an appointment","Yes"
4244,"Satisfied","Redirected","No"
4259,"Neutral","Booked an appointment","Yes"
4367,"Neutral","Booked an appointment","Yes"
4473,"Neutral","Prescription request","Yes"
4562,"Neutral","Booked an appointment","No"
4564,"Neutral","Booked an appointment","No"
4569,"Neutral","Booked an appointment","Yes"
4641,"Neutral","Prescription request","No"
4716,"Dissatisfied","Redirected","Yes"
4792,"Neutral","Redirected","Yes"
4921,"Neutral","Booked an appointment","No"
4924,"Neutral","Booked an appointment","Yes"
4936,"Dissatisfied","Booked an appointment","Yes"
4995,"Neutral","Redirected","Yes"
5015,"Neutral","Booked an appointment","No"
5131,"Neutral","Booked an appointment","Yes"
5148,"Neutral","Booked an appointment","No"
5173,"Neutral","Booked an appointment","No"
5268,"Neutral","Booked an appointment","Yes"
5354,"Neutral","Prescription request","No"
5513,"Satisfied","Prescription request","No"
5551,"Neutral","Prescription request","No"
5625,"Neutral","Prescription request","No"
5698,"Neutral","Redirected","No"
5707,"Neutral","Booked an appointment","No"
5762,"Dissatisfied","Redirected","Yes"
5791,"Satisfied","Prescription request","No"
5865,"Neutral","Prescription request","Yes"
6136,"Neutral","Redirected","No"
6142,"Neutral","Prescription request","No"
6170,"Neutral","Booked an appointment","Yes"
6172,"Neutral","Booked an appointment","Yes"
6230,"Neutral","Redirected","Yes"
6381,"Neutral","Prescription request","Yes"
6439,"Neutral","Booked an appointment","Yes"
6471,"Neutral","Booked an appointment","Yes"
6487,"Neutral","Prescription request","Yes"
6494,"Neutral","Prescription request","No"
6536,"Neutral","Booked an appointment","Yes"
6656,"Neutral","Booked an appointment","No"
6822,"Dissatisfied","Prescription request","Yes"
6902,"Neutral","Redirected","No"
6991,"Neutral","Prescription request","Yes"
6993,"Neutral","Redirected","No"
7035,"Neutral","Redirected","No"
7061,"Neutral","Prescription request","No"
7129,"Neutral","Redirected","Yes"
7145,"Neutral","Prescription request","Yes"
7330,"Dissatisfied","Prescription request","Yes"
7345,"Neutral","Redirected","Yes"
7508,"Neutral","Redirected","Yes"
7527,"Neutral","Booked an appointment","Yes"
7756,"Neutral","Prescription request","No"
7847,"Neutral","Prescription request","Yes"
7938,"Satisfied","Booked an appointment","No"
7959,"Dissatisfied","Redirected","Yes"
8070,"Dissatisfied","Redirected","Yes"
8106,"Neutral","Redirected","No"
8278,"Satisfied","Redirected","Yes"
8448,"Neutral","Booked an appointment","No"
8563,"Neutral","Prescription request","No"
8618,"Neutral","Redirected","Yes"
8662,"Neutral","Booked an appointment","No"
8742,"Neutral","Redirected","Yes"
8925,"Dissatisfied","Prescription request","No"
9037,"Neutral","Booked an appointment","Yes"
9051,"Neutral","Prescription request","Yes"
9061,"Neutral","Booked an appointment","Yes"
9200,"Neutral","Prescription request","No"
9322,"Neutral","Prescription request","No"
9411,"Neutral","Booked an appointment","No"
9423,"Neutral","Booked an appointment","Yes"
9618,"Dissatisfied","Prescription request","Yes"
9679,"Neutral","Prescription request","No"
