"id","assum_check","seniority","teach"
11,"Full checks","Faculty","Yes"
26,"No follow-up","PostDoc","No"
66,"Insufficient","PostDoc","No"
166,"Full checks","Faculty","Yes"
183,"Full checks","PostDoc","Yes"
194,"Insufficient","Faculty","No"
240,"No checks","PostDoc","Yes"
249,"No follow-up","PostDoc","Yes"
274,"No follow-up","Faculty","Yes"
276,"Insufficient","Faculty","Yes"
374,"No follow-up","PostDoc","Yes"
385,"Full checks","Faculty","Yes"
391,"Full checks","Faculty","No"
422,"Insufficient","PhD","Yes"
437,"Insufficient","Faculty","No"
444,"Insufficient","Faculty","No"
448,"No checks","PostDoc","No"
451,"Full checks","Faculty","Yes"
455,"No follow-up","PhD","No"
479,"No follow-up","Faculty","Yes"
519,"Insufficient","PostDoc","No"
552,"Insufficient","PostDoc","No"
612,"No follow-up","PostDoc","Yes"
629,"No follow-up","PostDoc","No"
647,"No follow-up","Faculty","Yes"
653,"No checks","Faculty","Yes"
657,"Full checks","PostDoc","No"
677,"No checks","PhD","No"
701,"Full checks","PhD","Yes"
776,"No checks","PhD","Yes"
781,"Full checks","PhD","Yes"
809,"No checks","Faculty","No"
820,"Insufficient","Faculty","Yes"
853,"No follow-up","PhD","Yes"
854,"Insufficient","PhD","No"
905,"Full checks","Faculty","Yes"
958,"No checks","PostDoc","No"
965,"No checks","PhD","No"
977,"No checks","PostDoc","Yes"
986,"Insufficient","PostDoc","Yes"
1008,"No checks","PhD","Yes"
1024,"Full checks","Faculty","No"
1034,"No checks","PostDoc","No"
1095,"Full checks","PostDoc","Yes"
1128,"No checks","PhD","No"
1143,"Insufficient","PhD","Yes"
1223,"Full checks","PostDoc","Yes"
1283,"Full checks","Faculty","Yes"
1311,"Full checks","PhD","Yes"
1340,"No checks","PostDoc","No"
1344,"No follow-up","Faculty","Yes"
1365,"Full checks","Faculty","Yes"
1383,"Full checks","PhD","Yes"
1399,"No follow-up","PostDoc","Yes"
1400,"No follow-up","Faculty","No"
1402,"No checks","PostDoc","No"
1403,"Insufficient","PostDoc","No"
1416,"Insufficient","PostDoc","No"
1483,"No follow-up","PostDoc","Yes"
1494,"No checks","Faculty","No"
1518,"No follow-up","Faculty","No"
1544,"Insufficient","PhD","Yes"
1551,"No follow-up","PostDoc","Yes"
1563,"Insufficient","PostDoc","No"
1616,"No follow-up","Faculty","Yes"
1665,"No checks","PhD","No"
1671,"No checks","PhD","Yes"
1674,"No checks","PhD","No"
1713,"No follow-up","Faculty","No"
1747,"No checks","PhD","No"
1777,"Full checks","PostDoc","Yes"
1778,"No checks","PostDoc","No"
1784,"Insufficient","PostDoc","No"
1790,"Insufficient","PostDoc","Yes"
1907,"Insufficient","PhD","No"
1914,"No checks","PhD","No"
1918,"Full checks","PostDoc","Yes"
1946,"No checks","PostDoc","No"
1952,"No follow-up","PostDoc","Yes"
1954,"No follow-up","PostDoc","Yes"
1955,"No checks","PhD","No"
2057,"No checks","PhD","No"
2059,"Insufficient","Faculty","No"
2082,"No follow-up","PhD","No"
2088,"No checks","PhD","No"
2134,"Full checks","PostDoc","Yes"
2182,"No checks","Faculty","No"
2202,"Full checks","Faculty","No"
2215,"Insufficient","Faculty","No"
2217,"No follow-up","PhD","No"
2219,"Insufficient","PostDoc","No"
2252,"No follow-up","PhD","Yes"
2276,"No follow-up","PostDoc","Yes"
2328,"Full checks","Faculty","No"
2350,"Insufficient","Faculty","No"
2356,"No follow-up","Faculty","Yes"
2368,"Insufficient","PostDoc","No"
2392,"No checks","Faculty","No"
2464,"No follow-up","PostDoc","No"
2517,"No follow-up","PhD","Yes"
2539,"No checks","PhD","No"
2554,"No follow-up","Faculty","Yes"
2573,"Full checks","PostDoc","No"
2645,"No follow-up","PostDoc","Yes"
2708,"Insufficient","PostDoc","No"
2714,"Insufficient","Faculty","No"
2820,"No follow-up","Faculty","No"
2825,"No checks","Faculty","No"
2846,"Insufficient","PostDoc","No"
2902,"Full checks","PostDoc","Yes"
2990,"Full checks","PhD","Yes"
2999,"No checks","PhD","No"
3000,"Full checks","PhD","No"
3038,"Insufficient","PostDoc","No"
3045,"No follow-up","PostDoc","Yes"
3097,"No follow-up","PostDoc","No"
3105,"No checks","PostDoc","No"
3161,"Insufficient","Faculty","No"
3239,"No checks","Faculty","Yes"
3288,"No follow-up","PostDoc","Yes"
3295,"Full checks","Faculty","Yes"
3330,"Insufficient","PhD","No"
3349,"No follow-up","PhD","Yes"
3361,"Full checks","PhD","Yes"
3363,"No follow-up","Faculty","Yes"
3388,"No checks","Faculty","No"
3460,"No follow-up","PostDoc","No"
3462,"No checks","PhD","No"
3465,"No follow-up","PhD","No"
3530,"No checks","PostDoc","No"
3599,"Insufficient","Faculty","Yes"
3616,"No checks","PhD","No"
3674,"Full checks","Faculty","No"
3694,"Insufficient","PhD","Yes"
3708,"Insufficient","Faculty","Yes"
3743,"No follow-up","Faculty","No"
3750,"No checks","PhD","No"
3866,"No follow-up","PhD","Yes"
3881,"Full checks","Faculty","No"
3899,"No follow-up","PostDoc","No"
3936,"No checks","PhD","No"
3956,"No follow-up","PostDoc","Yes"
3960,"Full checks","Faculty","Yes"
3998,"No follow-up","PostDoc","Yes"
4014,"Insufficient","PostDoc","No"
4093,"Insufficient","PostDoc","No"
4111,"Insufficient","PhD","Yes"
4120,"Full checks","PhD","Yes"
4135,"Insufficient","Faculty","Yes"
4208,"No follow-up","Faculty","Yes"
