"study_id","es_id","outcome_types","treatment_n","control_n","total_N","pub_status","random_assignment","sample_screening","rel_text_causal","text_length","treatment_mean","control_mean","treatment_sd","control_sd","t","d","vd","g","vg"
"Trevors2012_1","ES_293","inacc_beliefs",25.5,25.5,51,"unpublished","random","screened",12.55,42,NA,NA,NA,NA,NA,NA,NA,-0.623335663090426,0.082240660283141
"Geller2021_2","ES_91","inacc_beliefs",47,47,94,"unpublished","random","not_screened",8.24,21,NA,NA,NA,NA,NA,NA,NA,-0.473064057621676,0.0437435617160292
"Diakidoy2016_1","ES_81","inacc_beliefs",35,33,68,"published","random","not_screened",NA,260,NA,NA,NA,NA,NA,NA,NA,0.105559158553474,0.0589611688200205
"Prinz 2017_1","ES_253","inacc_beliefs",27,26,53,"unpublished","random","not_screened",NA,123,NA,NA,NA,NA,NA,NA,NA,0.380124879262077,0.0769654151168325
"Van Loon 2015_1","ES_299","inacc_beliefs",57,57,114,"published","random","not_screened",NA,17.12,NA,NA,NA,NA,NA,NA,NA,-0.574773286988883,0.0365859470725688
"Braasch2013_2","ES_31","inacc_beliefs",54,51,105,"published","random","screened",11.33,0,NA,NA,NA,NA,NA,NA,NA,-0.265930158979315,0.0384755841395053
"Broughton 2010_1","ES_38","inacc_beliefs",42.5,42.5,85,"published","random","not_screened",7.84,26,NA,NA,NA,NA,NA,NA,NA,-0.53944677340944,0.0488495591114544
"Broughton 2010_1","ES_39","inacc_beliefs",42.5,42.5,85,"published","random","not_screened",7.84,26,NA,NA,NA,NA,NA,NA,NA,-0.230411608711369,0.0473855188965881
"Geller2021_1","ES_90","inacc_beliefs",48.5,48.5,97,"unpublished","random","not_screened",8.24,21,NA,NA,NA,NA,NA,NA,NA,-0.627637798347961,0.0433492886835748
"Kutza 2000_1","ES_124","inacc_beliefs",44,49,93,"unpublished","random","not_screened",NA,5,NA,NA,NA,NA,NA,NA,NA,-0.886128878578538,0.0475343483561568
"Kutza 2000_1","ES_125","inacc_beliefs",45,50,95,"unpublished","random","not_screened",NA,5,NA,NA,NA,NA,NA,NA,NA,-0.0790134859830004,0.04225643038669
"Kutza 2000_1","ES_126","inacc_beliefs",44,49,93,"unpublished","random","not_screened",NA,5,NA,NA,NA,NA,NA,NA,NA,-0.764947243418104,0.0464134778686092
"Kutza 2000_1","ES_127","inacc_beliefs",45,50,95,"unpublished","random","not_screened",NA,5,NA,NA,NA,NA,NA,NA,NA,-0.0320434445819229,0.0422278482998053
"Prinz2019_1","ES_251","inacc_beliefs",41,39,80,"published","random","not_screened",NA,123,NA,NA,NA,NA,NA,NA,NA,-0.589810831753123,0.0523123552072144
"Adesope2017_1","ES_4","acc_beliefs",22,21,43,"published","random","not_screened",7.02000000000001,50,1.55,1.1,1.14,1.22,NA,NA,NA,NA,NA
"Adesope2017_1","ES_1","acc_beliefs",22,21,43,"published","random","not_screened",7.02000000000001,50,3.95,4.14,2.55,1.53,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_13","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.9,0.8,0.88,0.63,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_14","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,12.7,13.4,3.78,3.1,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_15","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.2,0.1,0.42,0.32,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_16","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,2.73,2.36,1.19,1.29,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_17","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,15.82,14.64,1.67,3.41,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_18","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.27,0.27,0.47,0.47,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_19","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,3.4,4.4,0.97,0.7,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_20","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,17.9,17,1.85,1.33,NA,NA,NA,NA,NA
"Alvermann1989_1","ES_21","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.6,0.9,0.52,0.32,NA,NA,NA,NA,NA
"Ariasi2014_1","ES_22","acc_beliefs",14,16,30,"published","random","not_screened",5.44999999999999,0,6.21,3.94,1.8708,1.88,NA,NA,NA,NA,NA
"Ariasi2014_1","ES_23","acc_beliefs",14,15,29,"published","random","not_screened",5.44999999999999,0,6.14,5.53,1.8708,1.859032006,NA,NA,NA,NA,NA
"Ariasi2017_1","ES_24","acc_beliefs",18.5,18.5,37,"published","random","not_screened",NA,18,5.33,4.35,1.204,1.204325537,NA,NA,NA,NA,NA
"Asterhan2020_1","ES_25","acc_beliefs",22,26,48,"published","random","not_screened",3.56999999999999,72,70.89,45.55,24.44,28.08,NA,NA,NA,NA,NA
"Asterhan2020_1","ES_26","acc_beliefs",24,26,50,"published","random","not_screened",3.56999999999999,72,73.14,42.13,26.65,35.43,NA,NA,NA,NA,NA
"Braasch2013_2","ES_28","acc_beliefs",54,51,105,"published","random","screened",11.33,0,4.92,4.1,2.05,1.65,NA,NA,NA,NA,NA
"Broughton 2010_1","ES_40","acc_beliefs",42.5,42.5,85,"published","random","not_screened",7.84,26,6.2,6.84,3.41,3.54,NA,NA,NA,NA,NA
"Broughton 2010_1","ES_41","acc_beliefs",42.5,42.5,85,"published","random","not_screened",7.84,26,7.76,7.61,3.13,3.24,NA,NA,NA,NA,NA
"Butterfuss2020_1","ES_42","acc_beliefs",78.5,78.5,157,"unpublished","random","not_screened",4.75,NA,13.51,12.53,0.35,0.34,NA,NA,NA,NA,NA
"Cameron 2013_1","ES_43","acc_beliefs",27,23,50,"published","random","screened",NA,NA,10.7,9.86,2.05,1.87,NA,NA,NA,NA,NA
"Cameron 2013_1","ES_44","acc_beliefs",27,29,56,"published","random","screened",NA,NA,10.7,9.69,2.05,2.49,NA,NA,NA,NA,NA
"Chambers1997_1","ES_45","acc_beliefs",20,19,39,"published","random","not_screened",NA,NA,21.7,15.4,7.81,8.64,NA,NA,NA,NA,NA
"Chambers1997_1","ES_46","acc_beliefs",29,33,62,"published","random","not_screened",NA,NA,15.9,10.3,7.97,6.27,NA,NA,NA,NA,NA
"Chambers1997_1","ES_47","acc_beliefs",22,24,46,"published","random","not_screened",NA,NA,19.8,15.9,8.08,8.96,NA,NA,NA,NA,NA
"Chambers1997_1","ES_48","acc_beliefs",30,28,58,"published","random","not_screened",NA,NA,15.2,13.6,6.77,7.12,NA,NA,NA,NA,NA
"Cordova2017_1","ES_55","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,10.67,9.25,4.29,4.1,NA,NA,NA,NA,NA
"Cordova2017_1","ES_56","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,10.18,10.34,4.3,4.36,NA,NA,NA,NA,NA
"Cordova2017_1","ES_53","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,6.3,6.25,0.79,0.71,NA,NA,NA,NA,NA
"Cordova2017_1","ES_54","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,6.32,6.47,0.69,0.67,NA,NA,NA,NA,NA
"Cordova2017_1","ES_57","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,4.11,4.14,0.37,0.39,NA,NA,NA,NA,NA
"Cordova2017_1","ES_58","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,4.1,4.04,0.4,0.4,NA,NA,NA,NA,NA
"Dersch 2020_1","ES_63","acc_beliefs",40,48,88,"published","random","not_screened",NA,NA,2.92,2.23,1.41,1.34,NA,NA,NA,NA,NA
"Dersch 2020_1","ES_64","acc_beliefs",41,48,89,"published","random","not_screened",NA,NA,2.32,2.23,1.4,1.34,NA,NA,NA,NA,NA
"Dersch 2020_1","ES_69","acc_beliefs",40,48,88,"published","random","not_screened",NA,NA,2.65,2.5,1.1,0.8,NA,NA,NA,NA,NA
"Dersch 2020_1","ES_70","acc_beliefs",41,48,89,"published","random","not_screened",NA,NA,2.44,2.5,1.12,0.8,NA,NA,NA,NA,NA
"Dersch 2020_1","ES_67","acc_beliefs",40,48,88,"published","random","not_screened",NA,NA,1.94,1.59,1.42,1.26,NA,NA,NA,NA,NA
"Dersch 2020_1","ES_68","acc_beliefs",41,48,89,"published","random","not_screened",NA,NA,1.77,1.59,1.52,1.26,NA,NA,NA,NA,NA
"Diakidoy2003_1","ES_71","acc_beliefs",76,73,149,"published","random","not_screened",NA,517,0.62,0.5,0.18,0.15,NA,NA,NA,NA,NA
"Diakidoy2003_1","ES_72","acc_beliefs",76,73,149,"published","random","not_screened",NA,517,0.58,0.45,0.16,0.14,NA,NA,NA,NA,NA
"Diakidoy2011_1","ES_76","acc_beliefs",31,30,61,"published","random","not_screened",3.33,262,0.16,0.15,0.1,0.1,NA,NA,NA,NA,NA
"Diakidoy2011_1","ES_77","acc_beliefs",31,30,61,"published","random","not_screened",3.33,262,7.32,4.1,3.98,3.4,NA,NA,NA,NA,NA
"Diakidoy2011_1","ES_73","acc_beliefs",30,30,60,"published","random","not_screened",3.33,262,17.93,15.57,12.3,12.94,NA,NA,NA,NA,NA
