"study_id","es_id","outcome_types","treatment_n","control_n","total_N","pub_status","random_assignment","sample_screening","rel_text_causal","text_length","treatment_mean","control_mean","treatment_sd","control_sd","t","d","vd","g","vg"
"Adesope2017_1","ES_4","acc_beliefs",22,21,43,"published","random","not_screened",7.02000000000001,50,1.55,1.1,1.14,1.22,NA,NA,NA,0.374424354753638,0.094859280180927
"Adesope2017_1","ES_1","acc_beliefs",22,21,43,"published","random","not_screened",7.02000000000001,50,3.95,4.14,2.55,1.53,NA,NA,NA,-0.0881870477771018,0.0931726504431065
"Alvermann1989_1","ES_13","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.9,0.8,0.88,0.63,NA,NA,NA,0.125335971726995,0.194075025897243
"Alvermann1989_1","ES_14","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,12.7,13.4,3.78,3.1,NA,NA,NA,-0.194233184762335,0.194725612210733
"Alvermann1989_1","ES_15","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.2,0.1,0.42,0.32,NA,NA,NA,0.256899594867059,0.195560979783168
"Alvermann1989_1","ES_16","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,2.73,2.36,1.19,1.29,NA,NA,NA,0.285971049948305,0.196027318571114
"Alvermann1989_1","ES_17","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,15.82,14.64,1.67,3.41,NA,NA,NA,0.421555113958771,0.198861904086604
"Alvermann1989_1","ES_18","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.27,0.27,0.47,0.47,NA,NA,NA,0,0.193610842207164
"Alvermann1989_1","ES_19","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,3.4,4.4,0.97,0.7,NA,NA,NA,-1.13397939234703,0.231607792112115
"Alvermann1989_1","ES_20","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,17.9,17,1.85,1.33,NA,NA,NA,0.53580907766796,0.202094019548803
"Alvermann1989_1","ES_21","acc_beliefs",10.33,10.33,20.66,"published","random","screened",NA,12,0.6,0.9,0.52,0.32,NA,NA,NA,-0.666489185588717,0.206736607243938
"Ariasi2014_1","ES_22","acc_beliefs",14,16,30,"published","random","not_screened",5.44999999999999,0,6.21,3.94,1.8708,1.88,NA,NA,NA,1.17743543891008,0.160328075740072
"Ariasi2014_1","ES_23","acc_beliefs",14,15,29,"published","random","not_screened",5.44999999999999,0,6.14,5.53,1.8708,1.859032006,NA,NA,NA,0.317942850845709,0.140096380354103
"Ariasi2017_1","ES_24","acc_beliefs",18.5,18.5,37,"published","random","not_screened",NA,18,5.33,4.35,1.204,1.204325537,NA,NA,NA,0.796257307626786,0.11764070161204
"Asterhan2020_1","ES_25","acc_beliefs",22,26,48,"published","random","not_screened",3.56999999999999,72,70.89,45.55,24.44,28.08,NA,NA,NA,0.941232200020004,0.0939254939514113
"Asterhan2020_1","ES_26","acc_beliefs",24,26,50,"published","random","not_screened",3.56999999999999,72,73.14,42.13,26.65,35.43,NA,NA,NA,0.968061914549344,0.0902585978007621
"Braasch2013_2","ES_28","acc_beliefs",54,51,105,"published","random","screened",11.33,0,4.92,4.1,2.05,1.65,NA,NA,NA,0.436102417762918,0.0390655311969254
"Broughton 2010_1","ES_40","acc_beliefs",42.5,42.5,85,"published","random","not_screened",7.84,26,6.2,6.84,3.41,3.54,NA,NA,NA,-0.182470661929719,0.0472637133388668
"Broughton 2010_1","ES_41","acc_beliefs",42.5,42.5,85,"published","random","not_screened",7.84,26,7.76,7.61,3.13,3.24,NA,NA,NA,0.046661739325743,0.0470722220272313
"Butterfuss2020_1","ES_42","acc_beliefs",78.5,78.5,157,"unpublished","random","not_screened",4.75,NA,13.51,12.53,0.35,0.34,NA,NA,NA,2.8265122277641,0.0515433105636539
"Cameron 2013_1","ES_43","acc_beliefs",27,23,50,"published","random","screened",NA,NA,10.7,9.86,2.05,1.87,NA,NA,NA,0.419790113003291,0.0824202515966716
"Cameron 2013_1","ES_44","acc_beliefs",27,29,56,"published","random","screened",NA,NA,10.7,9.69,2.05,2.49,NA,NA,NA,0.43513008827522,0.0733315194178338
"Chambers1997_1","ES_45","acc_beliefs",20,19,39,"published","random","not_screened",NA,NA,21.7,15.4,7.81,8.64,NA,NA,NA,0.750375957862975,0.110617090782776
"Chambers1997_1","ES_46","acc_beliefs",29,33,62,"published","random","not_screened",NA,NA,15.9,10.3,7.97,6.27,NA,NA,NA,0.777284914854544,0.0699715255737214
"Chambers1997_1","ES_47","acc_beliefs",22,24,46,"published","random","not_screened",NA,NA,19.8,15.9,8.08,8.96,NA,NA,NA,0.448244955199808,0.0894987544060468
"Chambers1997_1","ES_48","acc_beliefs",30,28,58,"published","random","not_screened",NA,NA,15.2,13.6,6.77,7.12,NA,NA,NA,0.227412437317318,0.0695242375532289
"Cordova2017_1","ES_55","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,10.67,9.25,4.29,4.1,NA,NA,NA,0.335014116533156,0.0527141306076659
"Cordova2017_1","ES_56","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,10.18,10.34,4.3,4.36,NA,NA,NA,-0.0365796650634032,0.051957185224413
"Cordova2017_1","ES_53","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,6.3,6.25,0.79,0.71,NA,NA,NA,0.0659037331624514,0.0519776980216361
"Cordova2017_1","ES_54","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,6.32,6.47,0.69,0.67,NA,NA,NA,-0.218350128703465,0.0522734793015205
