dlbs_1,dlbs_2,dlbs_3,dlbs_4,dlbs_5,dlbs_6,dlbs_7,dlbs_8,dlbs_9,dlbs_10,dlbs_11,dlbs_12,dlbs_13,dlbs_14,dlbs_15,dlbs_16,dlbs_17,dlbs_18,dlbs_19,dlbs_20
4,3,4,4,3,4,2,2,4,1,1,1,1,1,1,4,3,5,5,4
2,5,5,4,3,5,5,5,5,5,4,4,4,4,3,3,3,3,5,2
1,1,1,3,3,3,2,1,2,2,5,5,4,4,5,2,1,1,1,2
3,1,2,3,1,1,2,4,1,3,3,5,3,2,3,5,4,3,4,4
2,2,4,2,5,3,5,5,3,4,4,5,5,4,5,4,2,3,3,2
5,4,4,5,3,5,3,3,4,5,4,4,3,3,4,5,3,3,5,5
1,1,2,4,2,4,1,2,2,3,4,5,4,4,4,5,5,5,4,2
1,3,3,4,1,1,4,3,2,1,3,4,5,4,5,2,2,2,2,4
4,4,1,4,1,4,2,5,4,4,1,1,4,4,2,2,4,4,1,5
1,2,1,2,1,3,1,2,1,1,3,5,2,5,5,2,2,4,3,1
4,2,3,5,5,2,2,3,2,2,3,5,2,4,4,5,5,3,4,5
1,2,2,2,2,1,4,2,1,2,5,2,3,4,2,2,4,1,3,1
4,4,5,5,2,5,5,5,5,5,2,1,1,1,2,4,5,3,5,4
5,4,5,5,5,5,3,5,4,5,1,1,1,3,1,3,2,3,1,4
1,1,1,1,2,3,3,2,3,1,5,5,5,5,4,4,4,NA,3,1
5,4,5,5,4,5,3,4,4,4,4,2,4,1,5,3,5,5,5,5
3,3,3,1,1,2,2,1,1,3,2,5,1,3,3,1,1,1,1,4
5,1,2,5,5,3,4,5,3,2,2,3,1,2,3,2,4,3,3,2
5,4,4,2,4,5,5,4,4,5,3,3,5,4,3,NA,5,5,2,3
4,5,3,4,2,1,2,3,2,2,5,3,5,4,3,2,3,2,2,1
2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,3,2,4,5,3
4,5,4,4,3,1,3,2,4,1,5,4,5,3,5,2,3,2,4,4
4,4,3,4,4,1,3,5,2,2,2,1,2,2,3,3,3,2,2,2
