"...1","Study name","Subgroup within study","Comparison","Outcome","Std diff in means","Std Err...7","Hedges's g","Std Err...9","Difference in means","Std Err...11","Liking","Ownership/attachment","Affect/Emotion","Competence/Accomplishment","3d-Printed","Student sample","Female","Age","Region","Customization","Usage type","Tangible create","Customization_binary","Customization X Tangible","Usage X Tangible","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AT","AU","AV","AW","cluster"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Cloots (2019)",1,132,"Affect/Emotion",0.52971430038007,0.271907896039843,0.522322938049185,0.26811383237417,0.609999999999999,0.30776846584962,NA,NA,0.53,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloots (2019)"
2,"Cloots (2019)",1,132,"Competence",0.77959163334307,0.277227393687064,0.768713610552237,0.273359104472826,1.01,0.346250322330948,NA,NA,NA,0.78,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloots (2019)"
3,"Cloots (2019)",1,132,"Owndership/Attachment",0.844502771757944,0.27891987026978,0.832719012152019,0.275027965103225,1.19,0.376601342839575,NA,0.845,NA,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloots (2019)"
4,"Maiz et al. (2019)",1,152,"Affect/Emotion",0.576140235857722,0.193737387523499,0.572166854920772,0.192401267609544,0.4,0.131800760567302,NA,NA,0.576,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maiz et al. (2019)"
5,"Atakan et al. (2014b) - Study 2",2,146,"Affect/Emotion",1.23991292980037,0.183907416654722,1.2332106977474,0.182913322510643,NA,NA,NA,NA,1.24,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atakan et al. (2014b)"
6,"Atakan et al. (2014b) - Study 2",2,146,"Owndership/Attachment",0.368637694415102,0.169859100602692,0.366645058229074,0.168940943302137,NA,NA,NA,0.369,NA,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atakan et al. (2014b)"
7,"Franke & Piller (2004) - Study 3",3,135,"Competence",2.02416255802618,0.228348965980337,2.01081643126996,0.226843368402445,2.64,0.242191858970784,NA,NA,NA,2.024,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franke & Piller (2004)"
8,"Franke & Piller (2004) - Study 3",3,135,"Liking",1.31053985341925,0.204660302100908,1.30189893130879,0.203310893515628,1.29,0.182784968822894,1.311,NA,NA,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franke & Piller (2004)"
9,"Monnier et al. (2022) - Study 4",4,119,"Owndership/Attachment",1.01711098729379,0.14106790641381,1.01371684606812,0.140597157004198,1.53,0.199684505077584,NA,NA,NA,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monnier et al. (2022)"
10,"Erkin et al. (2018) - Study 3",3,140,"Owndership/Attachment",0.526,0.20342905397214,0.521964194373402,0.201868217240896,NA,NA,NA,0.526,NA,NA,"Blank","Blank",NA,NA,"Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erkin et al. (2018)"
