unique_id,country,language,degree_major,degree_year,age,gender,spld,stars_test_1,stars_int_1,stars_int_2,stars_int_3,stars_test_3,stars_int_5,stars_test_4,stars_int_6,stars_test_6,stars_help_2,stars_help_3,stars_int_11,stars_test_8,stars_help_4
01057178,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,3,5,4,4,5,2,4,4,3,2,4,5,5,4
0300b5f2,Indonesia,Non-English,Psychology,4th Year,18-21,Female/Woman,I do not have an SpLD,3,4,5,4,2,1,3,4,3,4,3,4,4,4
03f6503b,Indonesia,Non-English,Psychology,4th Year,22-25,Female/Woman,I do not have an SpLD,4,4,4,3,5,1,4,4,3,2,2,4,4,2
0601d699,Indonesia,Non-English,Psychology,NA,NA,NA,NA,4,4,4,2,5,1,4,4,4,4,2,4,5,1
08b6cb02,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,5,4,4,4,5,1,5,4,5,5,5,4,4,5
0903d70d,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,1,1,1,1,3,1,2,1,2,1,1,1,1,1
093d86f8,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,1,2,1,1,4,1,1,1,2,2,1,1,1,1
116f675f,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,4,1,3,1,2,5,3,5,4,4,4,4
12c5704b,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,3,2,3,4,4,4,4,2,3,1,2,3,1
147c2961,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,2,2,3,4,1,2,3,4,4,3,3,2,1
18073726,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,5,5,5,4,4,4,5,3,5,4,5,4,2
1d6fdb67,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,5,1,1,1,2,1,1,1,4,3,2,1,3,1
247c668b,Indonesia,Non-English,Psychology,2nd Year,NA,Female/Woman,I do not have an SpLD,4,4,4,2,4,1,3,4,4,4,2,4,4,2
287687fd,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,3,5,4,5,5,4,5,5,5,4,1,5,5,2
2936fc3b,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,2,4,3,2,2,2,1,2,2,3,2,1
29df6c94,Indonesia,Non-English,Psychology,4th Year,18-21,Male/Man,I do not have an SpLD,1,4,3,2,3,1,1,4,2,1,2,4,2,1
2a5f9237,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,3,3,2,3,2,2,3,2,2,2,3,2,2
2cfcd1d3,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,3,4,3,4,2,2,5,4,3,4,4,3,2
314f328c,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,5,5,4,4,4,4,5,4,3,4,4,3,4
34921653,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,3,3,3,5,1,5,5,5,4,4,3,3,4
41fff96d,Indonesia,Non-English,Psychology,NA,22-25,Male/Man,I do not have an SpLD,3,4,1,2,3,1,4,2,5,2,2,1,2,2
47afd764,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4888dad2,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,2,4,1,3,4,1,3,3,3,2,2,4,4,2
4f2aa2a5,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,5,5,5,5,5,4,5,5,5,5,4,4,5,3
4fd1027d,Indonesia,Non-English,Psychology,NA,NA,NA,NA,3,1,3,3,4,4,4,3,3,4,2,1,4,1
502cc749,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,1,2,1,1,4,1,3,3,2,2,1,1,1,1
52bd3591,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,4,4,1,3,4,3,1,1,4,3,1
56977874,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,3,3,4,4,1,4,5,4,4,2,3,4,3
5b43029c,Indonesia,Non-English,Psychology,NA,NA,Female/Woman,I do not have an SpLD,2,4,4,2,4,3,5,4,5,4,4,2,2,3
5c9fa37a,Indonesia,Non-English,Psychology,1st Year,18-21,Female/Woman,Other - Unspecified,2,3,2,1,4,1,1,1,1,1,1,1,4,1
5dca1675,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,4,3,1,2,3,2,4,4,3,3,3
5f3f152b,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,2,2,2,2,2,2,2,2,2,2,2,2,2,1
6048d753,Indonesia,Non-English,Psychology,3rd Year,22-25,Female/Woman,I do not have an SpLD,4,3,3,3,4,1,3,3,4,3,3,2,4,2
64c810ff,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,3,3,2,4,1,1,3,3,3,3,4,4,1
65aadfb7,Indonesia,Non-English,Psychology,2nd Year,18-21,Male/Man,I do not have an SpLD,5,3,3,3,5,2,4,3,4,4,3,3,5,2
67986fc5,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,3,4,1,3,2,4,3,3,2,4,1
6b57f33f,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,4,4,5,1,2,4,2,4,2,4,3,2
6b9a1f6f,Indonesia,Non-English,Psychology,NA,NA,NA,I do not have an SpLD,5,2,1,1,5,1,4,2,5,3,3,3,2,1
6c7f6daf,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,4,4,4,2,4,2,2,4,2,2,2,4,4,2
6faafc7a,Indonesia,Non-English,Psychology,2nd Year,18-21,Male/Man,I do not have an SpLD,2,3,3,2,4,1,4,3,4,3,2,3,4,2
6fc56d21,Indonesia,Non-English,Psychology,2nd Year,18-21,Male/Man,I do not have an SpLD,2,1,2,1,4,1,4,3,3,5,3,1,2,2
722994c2,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,2,2,2,4,5,1,4,3,5,3,1,2,4,1
72f3a154,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,3,4,3,4,3,3,4,4,3,3,3,4,3
74741aa3,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,3,5,2,5,4,4,5,5,4,2,2
7591f93f,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,4,4,4,2,3,4,3,5,4,5,2,4
7d0a07a9,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,1,1,3,1,4,1,4,1,3,5,2,3,4,1
7d28c303,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,4,5,3,4,5,1,5,4,4,3,3,5,5,3
7d55383a,Indonesia,Non-English,Psychology,3rd Year,18-21,Another Gender,I do not have an SpLD,4,3,2,3,4,1,4,4,5,3,3,4,3,2
8116550a,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,2,1,2,2,2,1,2,3,2,2,2,2,3,2
83491ff9,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,4,4,2,4,3,3,4,3,3,4,2
8450f8ad,Indonesia,Non-English,Psychology,2nd Year,18-21,Male/Man,I do not have an SpLD,3,2,3,2,4,2,4,3,3,2,2,3,3,2
876547d6,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,3,2,3,3,1,1,4,4,3,3,3,2,2
88c768ff,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,2,4,2,5,1,2,4,4,4,3,2,2,2
8bb71a11,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,5,4,5,4,1,3,4,4,4,1,4,3,1
8bdd8621,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,2,2,2,2,3,1,4,2,4,2,3,2,2,2
8c4cd614,Indonesia,Non-English,Psychology,NA,18-21,NA,I do not have an SpLD,4,4,4,5,4,1,5,3,2,5,5,5,2,2
8f3afacf,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,5,4,5,1,5,5,5,5,5,5,5,4
8fb4abbb,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,2,3,3,4,1,2,2,3,3,3,2,4,2
8fd7c791,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91abfa72,Indonesia,Non-English,Psychology,3rd Year,22-25,Female/Woman,I do not have an SpLD,4,4,4,2,5,3,2,4,3,5,5,3,3,5
91b069f6,Indonesia,Non-English,Psychology,4th Year,18-21,Female/Woman,I do not have an SpLD,2,2,3,3,3,2,4,3,2,3,2,3,3,2
931a9502,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,5,2,1,2,5,1,5,2,5,1,2,3,5,1
a10b387f,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,3,4,3,4,1,4,4,4,4,3,3,2,3
a1a87020,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,2,4,3,1,3,1,2,2,4,3,1,3,2,1
a457ba87,Indonesia,Non-English,Psychology,NA,18-21,Female/Woman,NA,5,4,5,4,4,4,4,4,4,4,4,4,4,4
a4bdc4ff,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,3,2,4,5,2,4,2,5,3,2,3,4,2
a51db991,Indonesia,Non-English,Psychology,3rd Year,18-21,NA,I do not have an SpLD,2,2,2,1,1,2,2,2,1,1,1,2,1,1
a6262fb1,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,3,3,4,3,4,4,4,4,3,3,4,3
a64a1d79,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,2,2,1,2,3,1,2,3,2,1,2,3,2,1
a6b64960,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,3,4,4,3,1,2,4,2,3,1,3,1,4
a8776c75,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,NA,2,4,3,4,4,1,4,4,2,2,2,4,4,2
b08b447d,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,2,4,3,1,4,1,2,4,1,5,2,4,3,5
b2333f12,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,3,3,3,4,3,2,4,3,3,3,4,2,3
b291df9b,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,3,3,1,5,1,4,4,3,1,1,3,1,1
b5886a6f,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,2,2,2,4,1,1,3,1,1,2,2,4,1
b7138c92,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,3,2,4,4,1,4,2,4,3,3,2,2,2
bbc26357,Indonesia,Non-English,Psychology,NA,18-21,Female/Woman,I do not have an SpLD,4,4,3,4,4,1,4,4,4,3,3,3,3,3
bbff9083,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,2,2,1,3,1,1,3,3,1,1,2,1,1
bc756d1b,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,4,4,4,3,4,4,4,3,4,4,4,1
bcf00f90,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,1,2,4,2,3,4,3,5,4,3,3,2
bd85d204,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,3,5,1,4,4,2,4,3,4,3,2
c22f1bc9,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,5,3,3,3,5,2,3,3,2,2,2,2,3,2
c636186d,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,2,4,1,2,4,2,2,4,3,3,3
c74a76f2,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,5,5,4,3,5,1,5,5,5,4,4,4,4,4
c954cb8b,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,4,3,3,3,5,2,2,3,3,3,3,2,5,3
cb1aa626,Indonesia,Non-English,Psychology,NA,NA,Male/Man,I do not have an SpLD,3,5,4,4,5,2,5,5,4,5,2,4,2,4
cc125cff,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,5,4,4,3,5,2,4,4,4,3,3,4,4,2
cd1f2af7,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,3,3,1,4,3,3,3,3,5,3,3,3,3
d090a401,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,5,3,5,5,1,5,5,5,5,5,5,5,4
d4f45f91,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,2,1,2,3,1,3,3,3,2,1,1,1,1
d7709660,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,3,3,4,2,4,4,4,4,4,3,4,4
db2c622f,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,3,3,3,4,3,4,4,3,3,3,3,4,3
df75a997,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,3,4,5,1,4,4,4,2,2,4,4,2
f11c4650,Indonesia,Non-English,Psychology,3rd Year,18-21,Male/Man,I do not have an SpLD,1,2,1,2,3,1,1,3,1,2,1,3,2,1
f1421435,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,4,3,4,1,5,2,4,4,3,3,4,2
f17cf62d,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,2,2,4,1,5,1,4,2,5,4,1,1,1,5
f49bd3d6,Indonesia,Non-English,Psychology,2nd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,2,2,1,3,3,2,3,3,3,4,2
f59adbc7,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,ADHD/ADD,3,4,3,4,5,2,1,5,4,5,3,4,3,3
f6b6ff94,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,4,2,2,5,1,3,4,4,4,2,4,5,3
f6d0ca86,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,4,2,2,2,3,1,4,3,4,2,2,3,5,1
faff1adb,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,3,4,3,4,5,1,3,5,2,5,5,4,4,5
fb314f0c,Indonesia,Non-English,Psychology,3rd Year,18-21,Female/Woman,I do not have an SpLD,2,2,2,2,1,1,2,2,1,1,1,2,2,2
